"date","gamepk","hometeamid","hometeamname","awayteamid","awayteamname","parkid","park","batterid","battername","batside","batterteamid","pitcherid","pitchername","pitcherteamid","pitchside","balls","strikes","result_type","pitch_type","pitch_speed","zone_location_x","zone_location_z","launch_speed","launch_vert_ang","launch_horiz_ang","landing_location_x","landing_location_y","hang_time"
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",543068,"Cron, C.J.","R",108,425492,"Madson, Ryan",133,"L",1,1,"force_out","FF",94.787941,0.2007463,2.3778517,83.643158,-17.825968,-6.7883697,-0.61704874,7.4248104,0.059789419
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",501981,"Davis, Khris","R",133,500724,"Ramirez, JC",108,"L",1,2,"home_run","SL",86.603157,0.38216841,2.5598218,104.00797,32.45557,-13.297381,-126.33474,370.36362,5.5011835
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",543068,"Cron, C.J.","R",108,608665,"Graveman, Kendall",133,"L",1,1,"field_out","FC",90.843025,0.75103569,3.1769876,96.208611,53.397648,34.136154,197.88441,176.40486,6.3670511
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",592387,"Healy, Ryon","R",133,445060,"Nolasco, Ricky",108,"L",3,2,"field_out","FF",92.953735,0.23619981,1.9692005,81.429207,-6.8615155,-30.564123,-7.3172841,15.075954,0.12748963
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",405395,"Pujols, Albert","R",108,608665,"Graveman, Kendall",133,"L",2,1,"field_out","SI",97.335213,0.1540716,1.2729925,94.233986,-34.396336,-12.177937,-0.24381092,3.6120422,0.016713262
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",594777,"Calhoun, Kole","R",108,608665,"Graveman, Kendall",133,"L",0,0,"single","SI",95.630043,0.31621504,1.5137028,92.673828,13.946175,-6.9921932,-74.538803,239.82164,2.6096919
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",545361,"Trout, Mike","R",108,608665,"Graveman, Kendall",133,"L",2,2,"home_run","FC",91.328766,0.52069151,2.3596814,113.38454,18.880039,-21.489389,-212.59268,318.30573,4.0715227
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",475174,"Alonso, Yonder","L",133,445060,"Nolasco, Ricky",108,"R",2,0,"field_out","FT",90.182663,-0.65145266,2.587883,91.71637,-0.093022816,33.075497,24.235567,38.552486,0.34752622
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",543760,"Semien, Marcus","L",133,445060,"Nolasco, Ricky",108,"R",0,1,"field_out","FT",89.997536,-0.90878212,2.0177486,101.59556,33.769615,-21.189154,-173.70566,331.50595,5.7275591
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",434658,"Davis, Rajai","L",133,445060,"Nolasco, Ricky",108,"R",0,1,"field_out","SL",81.798531,0.75714523,2.9672842,84.264641,59.163128,23.453938,111.43228,152.58122,5.8203464
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",592387,"Healy, Ryon","R",133,445060,"Nolasco, Ricky",108,"L",2,1,"field_out","FT",91.977547,-0.23090687,2.4630547,93.506927,27.65407,15.001978,152.97197,270.51871,4.0984683
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",488862,"Escobar, Yunel","R",108,608665,"Graveman, Kendall",133,"L",3,1,"single","SI",96.80294,0.042035166,2.5862968,105.20715,11.623868,23.146904,141.2095,209.69733,2.4610181
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",434658,"Davis, Rajai","R",133,500724,"Ramirez, JC",108,"L",0,0,"field_out","CU",80.747147,-0.28522179,2.2738273,80.387123,-48.067425,-13.876954,-0.72910804,2.6115732,0.024760723
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",461858,"Plouffe, Trevor","R",133,500724,"Ramirez, JC",108,"L",2,1,"single","SL",86.742363,0.43574354,2.0676248,79.490547,10.292,-26.921268,-62.07935,108.09048,1.2036383
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",457727,"Maybin, Cameron","R",108,608665,"Graveman, Kendall",133,"L",1,1,"grounded_into_double_play","SI",94.335152,0.25821432,1.8202873,103.926,-12.91697,-15.762594,-2.0156631,10.695291,0.057200313
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",592743,"Simmons, Andrelton","R",108,608665,"Graveman, Kendall",133,"L",0,0,"field_out","SI",92.855194,0.20228232,2.8310256,102.19142,20.170742,-11.408926,-46.828976,357.99863,3.8962069
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",592743,"Simmons, Andrelton","R",108,608665,"Graveman, Kendall",133,"L",1,2,"single","SI",94.235352,0.60078275,3.6064265,99.23185,6.1413093,15.541379,46.007862,125.37589,1.0647876
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",501981,"Davis, Khris","R",133,445060,"Nolasco, Ricky",108,"L",0,0,"single","FT",92.347939,0.11936592,2.3570075,110.67225,10.213305,-0.44980159,-21.772985,227.88672,1.8417817
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",519390,"Vogt, Stephen","R",133,445060,"Nolasco, Ricky",108,"L",2,1,"field_out","SL",81.731834,0.75360245,1.9110821,99.760788,33.345707,23.641836,157.36372,333.33661,5.7682076
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",459964,"Joyce, Matt","R",133,445060,"Nolasco, Ricky",108,"L",2,1,"field_out","FT",90.737282,-0.36758962,1.8970046,100.81155,29.309187,-0.25409794,-43.709789,382.37396,5.337358
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",519184,"Revere, Ben","R",108,433586,"Casilla, Santiago",133,"L",0,1,"field_out","FT",92.274101,-0.15664385,1.7309328,90.222862,7.0145946,16.93326,35.973152,110.31871,0.96373349
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",457787,"Espinosa, Danny","R",108,433586,"Casilla, Santiago",133,"L",0,0,"field_out","FT",93.050247,0.45724133,2.7252803,92.622414,29.010096,15.95395,107.26299,328.71432,4.5650363
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",519390,"Vogt, Stephen","R",133,500724,"Ramirez, JC",108,"L",0,1,"field_out","FT",95.59671,0.17612243,2.1429112,95.864784,-5.4877491,23.779436,7.7991371,18.927118,0.13869691
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",476704,"Lowrie, Jed","R",133,500724,"Ramirez, JC",108,"L",1,1,"field_out","FT",95.00605,0.10197771,1.4525254,94.03862,30.140329,-15.56086,-170.45937,289.63763,4.7756915
